# phase logamp pol cosi GW_freq costheta phi logL logPrior
1.220405605310449726e+00 -1.214577119978182473e+01 3.818718550961328062e-01 -5.877710813312826410e-01 1.441745227579500741e-09 -3.217179550193178250e-01 2.707152300156549174e+00 -6.078896263817586005e+06 0.000000000000000000e+00
4.506729873665582531e+00 -1.205593033702321115e+01 8.320128916918815287e-01 4.120024466738757551e-01 4.129085844052225818e-11 -8.844830136049478542e-01 5.552872117025009047e+00 -5.522533430211499333e+06 0.000000000000000000e+00
5.300582589771127395e+00 -1.202016869680549327e+01 1.534156096832581362e+00 9.397606972704573014e-01 2.173450404337014968e-09 -2.030051958508397383e-02 2.004702152772771528e-01 -4.853359679121217690e+06 0.000000000000000000e+00
4.548683544145991853e+00 -1.228625222941632700e+01 1.153999710423195602e+00 -6.431413514352635197e-01 1.084983315195224233e-09 -7.819375819283078122e-02 2.304961973795912056e-01 -4.556677531874886714e+06 0.000000000000000000e+00
3.047612985839740496e+00 -1.269103722509967547e+01 1.117520074494816829e+00 -9.195290572110917937e-01 6.939277285373386280e-10 3.980028688799445713e-01 3.176557886944578968e+00 -3.351094900506587699e+06 0.000000000000000000e+00
4.219749736801983037e-02 -1.260887694078729382e+01 1.026205954092749506e+00 -7.523886387362007655e-01 8.835892949292126839e-10 -1.637576221599217063e-02 3.859476389881741909e-01 -1.745576680004381808e+06 0.000000000000000000e+00
1.809184291009224621e+00 -1.236005029534300981e+01 5.904865255921997180e-01 4.436744014953349358e-01 1.516793141652512496e-09 -3.991100724608261929e-01 2.782867813075893704e+00 -1.698110443138172152e+06 0.000000000000000000e+00
5.334930629280592029e+00 -1.222293875598111335e+01 8.660016266600498724e-01 7.737042613819397063e-01 2.966256534151801579e-09 7.655104032489095101e-01 5.040447658534406017e-01 -1.658095059673885815e+06 0.000000000000000000e+00
3.439387492434437199e+00 -1.204501556306361998e+01 2.808776665622089164e-01 -6.932486669314785743e-02 1.962070157266592747e-09 -4.077516660716402619e-01 3.506477961747289207e+00 -1.090983131140359212e+06 0.000000000000000000e+00
3.974539634476486949e+00 -1.208072576691157707e+01 1.435093031605374048e+00 5.054303261925444657e-01 4.608619011578008411e-09 2.293509138866115793e-01 2.686124659655740654e+00 -1.042855351271131542e+06 0.000000000000000000e+00
2.411732105417645489e+00 -1.205045574450691781e+01 6.681504227307170085e-01 3.410227421774276735e-01 1.439035745525147807e-09 -4.268281583778875676e-01 3.829015959309140626e+00 -9.491702227929153014e+05 0.000000000000000000e+00
1.165163406872080198e+00 -1.208272773604233130e+01 1.294601824104136600e+00 5.837963057039436965e-01 5.655565123808712928e-09 8.193904532952892006e-03 2.636486032722647366e+00 -8.756562861359504750e+05 0.000000000000000000e+00
1.225618293594647579e+00 -1.267013037088073979e+01 1.042192336859569357e+00 -1.018321882716144711e-01 1.008956942604822784e-09 -8.400554197716796345e-01 2.572320065841796399e+00 -5.138007207327903016e+05 0.000000000000000000e+00
1.270063376308186553e+00 -1.237094639738026025e+01 1.240261167750098092e+00 -5.915250177578518231e-01 2.958298215867001521e-09 -7.488956395814443390e-01 9.900996826487462599e-01 -4.901727044502480421e+05 0.000000000000000000e+00
3.094887068178498790e+00 -1.202995948718343477e+01 4.256384353779753965e-02 6.734939919538800446e-01 1.158013582686723864e-08 3.193830864039335360e-01 1.760341195753720056e+00 -4.832950252598123625e+05 0.000000000000000000e+00
4.107627484913420446e+00 -1.237191356280200338e+01 1.192312056190854008e+00 -4.967786221532560220e-01 4.655970913276109326e-09 6.055129646724207726e-01 1.547860795777917575e+00 -3.445640189994151006e+05 0.000000000000000000e+00
1.174193531479580832e+00 -1.255376409545885785e+01 7.440421370817769109e-01 1.616323287510520179e-01 1.348596013987370672e-09 -1.277962615106283395e-01 9.609215709585842147e-01 -3.122088552826300729e+05 0.000000000000000000e+00
5.964183617974756046e+00 -1.269693246264606046e+01 4.069129806067997013e-01 -1.194377182412497684e-01 9.590202481577088613e-10 1.083674284494862139e-02 3.462671288497178868e+00 -3.021791632861554972e+05 0.000000000000000000e+00
1.369226648059537421e+00 -1.215302167777440268e+01 1.441288826044052396e+00 2.554039335474223016e-01 5.505376480642370165e-09 7.730040753807424503e-01 4.252744273603665248e-01 -2.718902226686170325e+05 0.000000000000000000e+00
1.721187970258295508e-01 -1.245915914182553941e+01 1.373216665493302235e+00 -1.318101729411322309e-01 2.657636696610119674e-09 3.295456820069641579e-01 2.101466916601592683e+00 -2.609533427049980965e+05 0.000000000000000000e+00
