# phase logamp pol cosi GW_freq costheta phi logL logPrior
4.752916330144198120e+00 -1.200085677004219953e+01 2.533066446141593042e-01 -1.289827316827432124e-01 4.930442239904817812e-10 6.007558987905702308e-01 1.348445664866682492e+00 -7.809924168331968598e+06 0.000000000000000000e+00
3.362669146221463623e-01 -1.245437453856224330e+01 4.350168965214828987e-01 -2.489190500048320542e-01 1.086661040520989089e-10 4.833028342180116788e-01 3.428446169502389118e+00 -2.759695822222738527e+06 0.000000000000000000e+00
5.777355138279773428e+00 -1.215622993091577086e+01 4.107562028645893037e-01 7.705161845475771987e-01 2.616222410138342309e-09 9.526013484213904370e-01 5.608821501107516205e+00 -1.448732059058695100e+06 0.000000000000000000e+00
2.732538205857594438e+00 -1.202725855016693224e+01 7.671525712074662717e-01 -2.220500763801137589e-01 6.881442834782623225e-11 -7.256802410938624215e-01 4.179524542483459726e+00 -1.396777553906778106e+06 0.000000000000000000e+00
1.370829365974179481e+00 -1.236282538142362242e+01 8.953122840480245426e-01 -5.504765909681572644e-01 1.940508727854267311e-09 -5.241782485836522509e-01 3.003054255747645396e+00 -8.931056309581766836e+05 0.000000000000000000e+00
3.180007848733499287e+00 -1.226572743985531488e+01 4.248467217680073627e-01 4.123317913320998507e-01 3.031957729044533148e-09 7.270881865737459648e-01 1.536157605923091918e+00 -7.842120675200723344e+05 0.000000000000000000e+00
2.067379646279233985e+00 -1.226530458420177183e+01 1.410656516455437215e+00 -7.075867239966076028e-01 7.011880931018767009e-09 8.139040704582833907e-02 1.932402467266914003e+00 -4.609129138605315238e+05 0.000000000000000000e+00
3.510751483337712919e-01 -1.233277458428367446e+01 9.267528548890633378e-01 1.399829572582925452e-01 6.034923898120600653e-10 5.351665050792601130e-01 3.135039394187314699e+00 -4.574191830391170224e+05 0.000000000000000000e+00
5.752066152558565015e+00 -1.277813512205586655e+01 3.122597577956854886e-01 -4.769650223729766103e-01 9.305618112793294656e-10 2.363405165780573247e-01 9.101543890383907431e-01 -4.390095591686058324e+05 0.000000000000000000e+00
4.381471154430714776e+00 -1.203156520651978312e+01 5.260889913093642622e-01 -9.660099605492765695e-01 1.280822359487201928e-08 -3.695229020116974628e-01 2.717199634443787204e+00 -3.974707303136062692e+05 0.000000000000000000e+00
3.271480468171992229e+00 -1.261517511982671458e+01 1.271258647198660885e+00 6.924676247331956747e-01 1.995904216151354311e-09 -9.569078606451650870e-01 2.001510767632721066e+00 -3.299109245142082218e+05 0.000000000000000000e+00
4.258073734885876149e+00 -1.216198434846604570e+01 7.340104497024837471e-01 1.787447849984505344e-01 2.731994822232248377e-09 2.642051018418042352e-01 3.325503731673835617e+00 -2.909180853506383719e+05 0.000000000000000000e+00
4.075021580938800625e+00 -1.214430918958673544e+01 5.474578159389354992e-01 -6.435377164641891135e-01 1.155674699988526106e-08 -8.365341692254588124e-02 1.763330812426453731e+00 -2.587039556610668078e+05 0.000000000000000000e+00
2.864718631113903680e+00 -1.201920576769991200e+01 4.186878875615473450e-01 -5.747294501384020426e-01 1.435991523690915658e-08 -2.370144936920412226e-01 2.125427607869138313e+00 -2.129608690052593302e+05 0.000000000000000000e+00
5.676689825924668753e+00 -1.217686646929845651e+01 5.332329471301981982e-01 6.539046328148431231e-01 1.091724662575464584e-08 6.744024279942455458e-01 1.700836637548716501e+00 -2.098793680421923345e+05 0.000000000000000000e+00
4.987922956704965216e+00 -1.251179599737354309e+01 9.135841017768235872e-01 -3.810344210633276330e-01 3.574025947392098325e-09 -2.778820487008666906e-01 9.242699579067683580e-01 -1.726119996306227404e+05 0.000000000000000000e+00
3.470060494215165825e+00 -1.328148112180334195e+01 1.159849995170589398e+00 3.637753040428320928e-01 6.090420804578797888e-10 5.868676745154917107e-01 2.527408895091008301e+00 -1.725888630568831286e+05 0.000000000000000000e+00
1.034964725965739074e+00 -1.204924789166588894e+01 1.096840866435989659e+00 2.417864011515045153e-01 1.285102727458684519e-08 6.808226864925266408e-01 1.497248575517368341e+00 -1.359808712774341693e+05 0.000000000000000000e+00
1.983663347357884854e+00 -1.200877468780344515e+01 1.525870805414996978e+00 -8.907891671367728081e-01 2.541289886850436349e-08 6.144299052755232138e-01 2.684860819994575820e+00 -1.337339444618686102e+05 0.000000000000000000e+00
2.506230257452256360e+00 -1.206034142142201127e+01 1.392048798789871089e+00 3.335674350153904344e-01 1.136601951385035876e-08 3.262687200076480054e-01 5.849432834612082743e-01 -1.285494815057345404e+05 0.000000000000000000e+00
6.057949332109028973e+00 -1.274164198254709035e+01 6.925585517180936623e-01 -5.264611495280213660e-01 3.779056910129694542e-09 6.299227518235962497e-01 1.295207029666318066e+00 -1.007418476125698071e+05 0.000000000000000000e+00
3.856270637790054856e+00 -1.215895462312136566e+01 1.156085503248902802e+00 -3.266336849993941582e-01 9.600327093302017468e-09 5.256102513070720628e-01 2.879090837829730187e+00 -9.931003723254379292e+04 0.000000000000000000e+00
