# phase logamp pol cosi GW_freq costheta phi logL logPrior
1.943445934520089846e+00 -1.345336214984967782e+01 6.780309678288801711e-01 6.325321871518226891e-01 4.060380124163125939e-08 4.800401599157856913e-01 5.301605023432093056e+00 -1.275769900927817702e+01 0.000000000000000000e+00
3.579611785780546729e+00 -1.318036101317840192e+01 2.333678485925769486e-01 -7.742834868812140670e-01 7.596966934928888703e-08 -2.150796802982725409e-01 5.629307117620361289e+00 -1.228710922847084319e+01 0.000000000000000000e+00
2.996095634929906382e+00 -1.373157758609359291e+01 2.987510132355341019e-01 -3.248976096643244604e-01 3.114648091245864618e-08 -9.420819078788018608e-01 2.354816156875828792e+00 -1.201895127547912523e+01 0.000000000000000000e+00
2.988520640089562530e+00 -1.296860305933933333e+01 1.826797724616600893e-01 4.613598898638281431e-01 9.564414076112418995e-08 -1.626050018244684092e-01 5.794589713748188764e+00 -1.171475146210408269e+01 0.000000000000000000e+00
3.059818838317465151e-01 -1.452146800101684754e+01 8.206234747942904306e-01 6.468660673167645481e-01 1.831916666405610261e-08 9.490481684446159250e-01 1.486028315360145236e+00 -1.154175293776135547e+01 0.000000000000000000e+00
1.862060367308999709e+00 -1.394049371323126607e+01 9.206079287182097337e-01 8.996796306182525127e-01 6.572315506408653139e-08 1.480178463932849686e-01 2.967496473888753705e+00 -1.127561956712271041e+01 0.000000000000000000e+00
2.830923644343999346e+00 -1.320239665888326464e+01 9.056002799526257085e-01 3.842393046517584287e-01 7.675701127693586426e-08 -7.473286453529883744e-01 5.792173693156231096e+00 -1.097166976285542361e+01 0.000000000000000000e+00
5.824964533145407408e+00 -1.424831412131625719e+01 5.975313546654088537e-01 -4.262789611185703875e-01 7.111827868312501569e-09 2.589942533471256692e-02 7.895404447867360176e-02 -1.088090107924047700e+01 0.000000000000000000e+00
3.649456634187897563e+00 -1.470649721878576344e+01 1.312168992810419876e+00 -6.045745158406397035e-01 1.001353291099771816e-08 8.337314974105646259e-01 1.015399961985821387e+00 -1.081740770389371065e+01 0.000000000000000000e+00
5.791604135940874976e+00 -1.395520251762547481e+01 2.662920349588370206e-01 4.189372382854094634e-01 2.217779144269328766e-08 -2.295299300326997527e-01 3.581128243595834704e+00 -1.066755957633656493e+01 0.000000000000000000e+00
3.697741384693052691e+00 -1.377593842023751591e+01 9.776115991518053994e-01 -7.390651843595597015e-01 9.871533550394459961e-08 8.390421647090775537e-01 1.843650903137800334e+00 -1.066656820842548292e+01 0.000000000000000000e+00
5.367415844446722595e+00 -1.304180017510181955e+01 1.117272618972831866e-01 4.868772498864266662e-01 8.783906711560455363e-08 -2.215452948759160379e-01 4.875879162351134610e+00 -1.062230812782270561e+01 0.000000000000000000e+00
