# phase logamp pol cosi GW_freq costheta phi logL logPrior
2.504156505825522849e+00 -1.399129476719239307e+01 2.021842730420203571e-01 7.392859183653168742e-01 3.328607432749756138e-08 2.627521126816353969e-02 1.141575480956791733e+00 -1.325056294423397674e+01 0.000000000000000000e+00
4.108865221180555416e+00 -1.316025658462613990e+01 8.670486869630305016e-01 9.069841198926259507e-02 3.100839504628179981e-08 -3.331515043143399302e-01 5.150132813094582929e+00 -1.289741814504286133e+01 0.000000000000000000e+00
4.833684212222388865e-01 -1.369781108209200937e+01 1.192738533246303634e+00 -7.945854167523478395e-01 7.375818946236565478e-08 3.615365446292913010e-01 2.224520814790260370e-01 -1.208250400547028747e+01 0.000000000000000000e+00
4.362342656861997625e+00 -1.400204428554867242e+01 5.785507112575943856e-01 -5.657365515578366422e-01 3.770976128759796513e-08 -2.776094506584844135e-01 2.333176054483281803e+00 -1.189690782848574813e+01 0.000000000000000000e+00
4.970711245532451472e-01 -1.358804777669657682e+01 8.269197825950411751e-01 3.411483450326851519e-01 3.621628894542408000e-08 -3.454257077969592471e-01 3.598887451832305295e+00 -1.160192730040880527e+01 0.000000000000000000e+00
3.520155267865114013e+00 -1.333333217462864617e+01 1.472192948922102840e+00 6.016984968054510663e-01 5.390478414428806819e-08 4.260982085098977690e-01 4.977735568804010136e+00 -1.137615355211858059e+01 0.000000000000000000e+00
2.076841798424285734e+00 -1.415694374993683446e+01 1.437117343943074221e+00 -1.557375638678297758e-01 2.458589944212305794e-08 3.431247467092475301e-01 1.810809464958737180e+00 -1.122421936518880692e+01 0.000000000000000000e+00
5.508669533221589809e+00 -1.370919950416223543e+01 6.263408540392713109e-01 -8.866848644580880290e-01 3.583298702917183437e-08 3.625132356064555417e-01 4.833453885072453104e+00 -1.108961014677765178e+01 0.000000000000000000e+00
2.167366823149024846e+00 -1.381617594776497882e+01 2.461733600745615591e-01 -9.607653915281486601e-01 3.879230382902893921e-08 5.859594837812464041e-01 4.349734595861789010e+00 -1.102977484598901370e+01 0.000000000000000000e+00
3.720444520970435320e+00 -1.354906758137560452e+01 3.057353360805936116e-01 -7.357298487946903331e-02 2.246734624353987887e-08 -1.596109839698096333e-01 8.933824379117974446e-02 -1.095185607743528600e+01 0.000000000000000000e+00
2.264900868461190431e+00 -1.374445622251409915e+01 2.950790062059436281e-01 2.413108696805027764e-01 2.628289946952152173e-08 8.081619163243898563e-02 3.879893054279296649e+00 -1.091164028591166968e+01 0.000000000000000000e+00
2.252659493216395248e+00 -1.393549717082649941e+01 1.199955457706826323e+00 8.972741616560987454e-01 4.027491496808625795e-08 8.961633274944130756e-01 5.696287518500509961e+00 -1.078835421395582017e+01 0.000000000000000000e+00
2.996467873221645206e+00 -1.351723258137270101e+01 9.294525195503614556e-01 -4.637786716787474228e-01 4.190595070002070003e-08 -6.980023346044561539e-01 4.371706776738327527e+00 -1.059912626753029485e+01 0.000000000000000000e+00
5.417642086290131331e+00 -1.446079848204124296e+01 2.926620948591172056e-01 6.062207232674586832e-01 1.887407075007878996e-08 2.444055414418639660e-01 1.265468144356319824e+00 -1.059243667426952840e+01 0.000000000000000000e+00
1.421527300360887480e+00 -1.312172774961542920e+01 3.930387551417713343e-02 -3.693454834988971758e-01 8.923773890515159407e-08 1.697935665273259676e-01 5.644069957503704771e+00 -1.055653653140738157e+01 0.000000000000000000e+00
3.933400379799325108e+00 -1.404996910169398205e+01 8.661765660150745338e-01 5.639123833566278554e-01 5.974443224968049831e-08 3.041396554717262224e-01 1.615862548306654212e+00 -1.051552524270743660e+01 0.000000000000000000e+00
5.015067217026371260e+00 -1.341970949441232008e+01 2.284820389801507368e-01 2.625217291339224657e-01 5.740554771531165684e-08 8.436678476659044135e-01 4.610369313266371449e+00 -1.049125131847189607e+01 0.000000000000000000e+00
4.343738385603277408e-01 -1.376399100213298610e+01 1.417773626525186348e+00 8.892504726435993545e-01 9.429067896176208129e-08 4.240097123862085482e-02 5.044591234087428822e-01 -1.038558075987701201e+01 0.000000000000000000e+00
1.272434778808133160e+00 -1.404902442673805218e+01 9.500854183428025790e-01 7.565732462023475602e-01 6.935530367496322199e-08 8.712681618558100194e-01 1.534675075618667117e+00 -1.037744820392944689e+01 0.000000000000000000e+00
