# phase logamp pol cosi GW_freq costheta phi logL logPrior
4.937703564450316662e+00 -1.265777650672420229e+01 1.279941038948971599e+00 -8.981759597480456492e-01 3.427807883944639199e-10 7.874731905584966829e-02 1.328019632322573251e+00 -8.819021176037427038e+06 0.000000000000000000e+00
5.729499731197497780e+00 -1.206509900130217439e+01 1.338898911844692785e+00 9.567406728778786729e-01 8.930528410760049863e-10 -3.266454172866185557e-01 6.178705146485927280e+00 -4.044255015011147596e+06 0.000000000000000000e+00
4.707592528804683818e-01 -1.232276534817220970e+01 1.387841362433422043e+00 7.326682154856600793e-01 2.229598699782448431e-09 -2.641218080578707772e-01 2.209064369898575464e+00 -2.433583335607155692e+06 0.000000000000000000e+00
3.463924762949166514e+00 -1.230033947179655307e+01 3.323036964424133100e-01 -5.480206036671324554e-01 1.969107128181231533e-09 6.335534431222848983e-01 3.158452104599577925e+00 -1.507064408681211760e+06 0.000000000000000000e+00
6.271289985449763904e+00 -1.205937766048540105e+01 5.714636762916687207e-01 7.595776969369569809e-01 4.513319589999645053e-09 -7.284497556815588970e-01 3.044226893213030305e+00 -8.990871964726245496e+05 0.000000000000000000e+00
1.207471248199401215e+00 -1.210264970345240165e+01 3.708863405222918019e-01 -4.395913599326074506e-01 6.048308138806618837e-09 4.100510852453136401e-01 1.900756526706131044e+00 -7.166188726027711527e+05 0.000000000000000000e+00
5.185974037364205813e+00 -1.282672495086741726e+01 1.043346171651069687e+00 4.421901107726025626e-01 1.393747744928500426e-09 3.786666228863626027e-01 2.010074200743199313e+00 -4.196237873517279513e+05 0.000000000000000000e+00
4.884905172517963190e-01 -1.238483529490113710e+01 4.229022634262893932e-01 -6.003150734115910714e-01 5.037131817355674185e-09 -4.632354450429607695e-01 1.615466358745193620e+00 -3.550939120092110825e+05 0.000000000000000000e+00
3.428360862821976607e+00 -1.217972355851257760e+01 1.014287885139240508e+00 -4.028116508702400678e-01 4.859388067496901001e-09 -3.432438344842904665e-01 1.659867277621472681e+00 -3.377859709884924814e+05 0.000000000000000000e+00
5.874382312761210478e-01 -1.256357844528315582e+01 1.259607191782819102e+00 7.371859423882695106e-01 1.329598862831657124e-09 6.700173680289129852e-01 5.226226085853403092e+00 -2.419594077628803789e+05 0.000000000000000000e+00
3.909899603675090152e+00 -1.236343252283491090e+01 6.815198149939395433e-01 1.234143604326972121e-01 2.175491224134753238e-09 -8.653784769308541236e-01 7.302175378343818135e-01 -2.329353782048706198e+05 0.000000000000000000e+00
2.016615240311726787e+00 -1.215701535607735018e+01 6.058117618939822258e-01 -5.715737459934938647e-01 1.042340658651699638e-08 8.529538094822808336e-02 1.343776847294638976e+00 -1.941955057973343064e+05 0.000000000000000000e+00
4.438428030481268216e+00 -1.290053941626377743e+01 1.024714391764545152e+00 9.991358201990820920e-01 2.513530174375741018e-09 6.545851339228808685e-02 3.262592081086287621e+00 -1.126393709274173307e+05 0.000000000000000000e+00
3.255976908038309858e+00 -1.283087294314526439e+01 2.042423873687456148e-01 3.011921637074525537e-01 2.017035000565651284e-09 3.943681144036198516e-01 2.348718501510421497e+00 -1.098977278814683814e+05 0.000000000000000000e+00
4.844102549877633557e-01 -1.201370192690681904e+01 1.318773196273173243e+00 5.756422906763845049e-01 1.182009598112272442e-08 -7.663476806403155539e-01 3.321769215652001783e+00 -8.598882073785891407e+04 0.000000000000000000e+00
1.584711831256955472e+00 -1.216759348246396222e+01 8.220219000625849093e-01 -6.899231143755051310e-01 1.548363970304325787e-08 -6.955103412278377251e-01 1.393015989052607484e+00 -8.313916540105105378e+04 0.000000000000000000e+00
1.831940526903831801e+00 -1.274527177738674411e+01 1.318328577815200076e+00 -8.102312416727150968e-01 2.193114796499916313e-09 -2.357296610323373898e-01 3.682155507796063709e+00 -8.267774685499272891e+04 0.000000000000000000e+00
5.812206668185933012e+00 -1.210534697033096307e+01 2.295981164284924825e-01 -6.325607478696256836e-01 2.351880571180330781e-08 -6.262881894742898525e-02 1.390008349893082862e+00 -6.347341066376650997e+04 0.000000000000000000e+00
3.915705637452834065e+00 -1.252952091651456890e+01 7.543316534456451228e-01 6.936043575910454395e-01 8.234404262550933991e-09 6.181450654505222797e-01 8.252360912713239127e-01 -5.972402020773092227e+04 0.000000000000000000e+00
1.700550396574914469e+00 -1.227574546084450091e+01 1.360729873017960667e+00 -7.682791950110391399e-01 1.609879280291680847e-08 -7.478190351869160035e-02 2.837217764383791696e+00 -5.913879151129331149e+04 0.000000000000000000e+00
5.482376094559384683e+00 -1.343585503947329585e+01 3.117615528772781364e-01 7.728844125976553903e-01 3.148425088983698913e-10 4.151845597913829122e-01 3.589906623305692435e+00 -4.500823115680702904e+04 0.000000000000000000e+00
8.907183025018763356e-01 -1.244985485530036406e+01 5.076042689628277316e-01 6.838948023873410165e-01 3.041219059608495746e-09 -7.953741391585033016e-01 5.472607622849872122e+00 -4.498622101997944992e+04 0.000000000000000000e+00
1.402265904482471681e+00 -1.251682329141266337e+01 6.585774245452691300e-01 9.384647685100322434e-01 1.656677299928147037e-08 7.621849776338071036e-01 2.138282402622179390e+00 -3.675355465851326881e+04 0.000000000000000000e+00
4.266911022676388221e+00 -1.236926342695023884e+01 2.417536303726563474e-01 -7.421879283672403460e-01 1.633486001286056285e-08 6.482797689026857935e-01 7.378659092638986117e-01 -3.612616140042607731e+04 0.000000000000000000e+00
7.148614915682299786e-01 -1.280672122645822597e+01 4.008860388508381223e-02 -6.024762653383418654e-01 3.837732037972841016e-09 3.495029845967663196e-01 3.171995579199095028e-01 -3.586997644199202477e+04 0.000000000000000000e+00
2.287580414945300511e+00 -1.236717408771815307e+01 1.831572978239902338e-01 4.965649151461785094e-01 2.894838891494226629e-09 -5.282797155384384435e-01 4.847002190808209043e+00 -3.317952788053762197e+04 0.000000000000000000e+00
4.838414806886294883e+00 -1.266105018821010830e+01 2.242276313532784726e-01 -6.621534353397084960e-01 8.882473872323140792e-09 -1.709374363533407992e-01 1.045713762984221029e+00 -2.657664332382368593e+04 0.000000000000000000e+00
4.310308234818228890e+00 -1.210687823121649132e+01 1.952740346136991600e-01 -1.802487910249555431e-02 1.711236754166200471e-08 5.365975220225794873e-01 1.571947096522778864e+00 -2.543287693958669843e+04 0.000000000000000000e+00
3.176487724957025804e+00 -1.247733377525841014e+01 3.664659627440189915e-01 4.676533938947085578e-01 1.161043381583133567e-08 -3.651280877342046871e-01 2.171229392087584475e+00 -2.475366792180870834e+04 0.000000000000000000e+00
2.109788407738339533e+00 -1.211393966067110739e+01 4.539429800923198699e-01 2.128959030933745278e-01 7.632412135271839064e-09 5.665448079017041394e-01 5.705442131594233857e+00 -2.414160247519224504e+04 0.000000000000000000e+00
4.082026605802172803e+00 -1.246258394900813116e+01 7.933847949244121622e-04 -7.148422773482387971e-02 5.597061617622265901e-09 -4.853261806611935403e-01 7.957753317562703543e-01 -2.146478674456625595e+04 0.000000000000000000e+00
4.476823620445309793e+00 -1.289441862306885156e+01 9.270967506537790559e-01 -8.488791113843727754e-01 4.087331147454022595e-09 4.604250112616532498e-01 3.732953384436742184e+00 -2.105753191791798599e+04 0.000000000000000000e+00
5.909298588176184808e+00 -1.218039254366423307e+01 1.150927975006547310e+00 9.494149444075653532e-01 2.719274622036491458e-08 -8.601129853924105451e-02 3.462642691013448459e+00 -2.051867922879722028e+04 0.000000000000000000e+00
3.288340441889836541e+00 -1.363895679715233733e+01 7.376724093113081748e-01 6.127373893081264900e-01 1.209295157889848918e-09 1.609555532696640145e-01 2.419536057325772482e+00 -1.991540000872134988e+04 0.000000000000000000e+00
3.463960188396128181e+00 -1.201804949970701486e+01 9.594123121362915785e-03 -3.191740538846983277e-01 1.974694961533180776e-08 1.073155958316581449e-01 3.592575158836869953e+00 -1.922176025014652259e+04 0.000000000000000000e+00
2.300692575522363725e+00 -1.245579303083475686e+01 8.770938333117611618e-01 -2.488273613143451857e-02 7.629076605791673428e-09 -9.313489357621090869e-01 8.194646075589183676e-01 -1.901591248840036860e+04 0.000000000000000000e+00
2.084293114100307598e+00 -1.253109270504718253e+01 9.955126887100961275e-01 -6.399367251449336047e-01 1.762619096737969560e-08 4.927100639895498624e-01 2.300598942947939207e+00 -1.861070480753739321e+04 0.000000000000000000e+00
