# phase logamp pol cosi GW_freq costheta phi logL logPrior
5.501106643567986509e+00 -1.386398457634149928e+01 1.375508221584332169e+00 5.095682700144338328e-01 4.382873553682012018e-08 5.993137011345669452e-01 1.768165204503181709e+00 -1.308094949224969383e+01 0.000000000000000000e+00
1.134104636596604987e+00 -1.399467603507296865e+01 4.529789453039770875e-01 4.062912210732101403e-01 1.107254926346277677e-08 -9.793013906634684407e-01 5.478686390142040175e+00 -1.279801178311754484e+01 0.000000000000000000e+00
3.285489515582642905e+00 -1.359621688602987888e+01 1.498712551851463459e+00 -2.626282842287029351e-01 8.639131661528562355e-08 -3.210939238873016244e-01 1.786683601308060920e+00 -1.214668708924057405e+01 0.000000000000000000e+00
1.157291125016388422e+00 -1.351429612566325567e+01 6.311000680516622996e-01 -5.903281428740808634e-02 8.528046803318636403e-08 -1.358729303313848391e-01 2.365382042778125804e+00 -1.199921297611173365e+01 0.000000000000000000e+00
5.021248284420393837e+00 -1.443249205915906508e+01 1.565638241633143135e+00 -8.243283279874924485e-01 1.290047247436771077e-08 5.307608886395770442e-01 3.557542802301961959e+00 -1.185640795101216938e+01 0.000000000000000000e+00
5.099725228370104446e-01 -1.465635019576855846e+01 7.935644476032666095e-01 7.078053170145244266e-01 1.579972335239049194e-08 -2.724878636823768185e-01 1.932580086823097787e+00 -1.156934006368005186e+01 0.000000000000000000e+00
2.265389712754979357e-01 -1.393743791020870226e+01 1.822823438997831502e-01 -3.122124896898521573e-01 3.196163238110978939e-08 -3.422273535493974839e-01 7.041435109251075186e-01 -1.137781399432440210e+01 0.000000000000000000e+00
2.343538491655061673e+00 -1.378461920739625235e+01 1.462399718437012996e+00 9.322744457452637468e-01 7.811179847597682399e-08 -7.161633468997717911e-01 2.835089190651398638e+00 -1.122107218524024930e+01 0.000000000000000000e+00
3.174559987801743866e+00 -1.414260257130368714e+01 6.555809059022452701e-01 8.062862880625072393e-01 4.631069797272753749e-08 4.873207120221489941e-01 1.306146657541298106e+00 -1.113243918495839679e+01 0.000000000000000000e+00
1.177839838415317475e+00 -1.368868640640084244e+01 1.274738106709075280e+00 -2.478323183365866156e-01 5.233044634925253834e-08 7.750984727850883660e-01 3.545286973443371736e-01 -1.110128966877073609e+01 0.000000000000000000e+00
6.213046564271468064e+00 -1.393291797439688118e+01 1.114151054649386685e+00 -4.344788162026945733e-01 3.005397529295357201e-08 7.202573268541043738e-01 5.863769843273247240e+00 -1.099386718539598995e+01 0.000000000000000000e+00
4.238274948230490224e+00 -1.411357770903396514e+01 9.261983823605239863e-01 7.822687404917234577e-01 1.760338701529645200e-08 1.597719369853119464e-01 4.420652531508880934e+00 -1.089964500654253854e+01 0.000000000000000000e+00
5.617228707861902315e+00 -1.383238094067491453e+01 5.482375553871369211e-01 -8.745534810241339940e-01 3.683913970947496652e-08 -6.376167942811852840e-02 3.957190848135151207e+00 -1.080922348132187238e+01 0.000000000000000000e+00
3.174469283653000851e+00 -1.357121556321887113e+01 1.433970568704190818e+00 9.313573334289877437e-01 5.857572753514535446e-08 5.189768867665338625e-01 5.105353334175024571e+00 -1.067826899530269813e+01 0.000000000000000000e+00
2.886436851688281457e+00 -1.375277031046338116e+01 3.718499222521753911e-01 -9.463677863049941852e-01 6.926881179938878563e-08 -4.455528844312804382e-01 3.744180428335432076e+00 -1.065248737322900752e+01 0.000000000000000000e+00
9.180481706430301259e-01 -1.343865862060962080e+01 7.837150502242981043e-01 1.451091851262244214e-01 3.698718410763007251e-08 9.974951614787961329e-01 3.132347410864281256e-01 -1.058516830177167023e+01 0.000000000000000000e+00
4.150920539806630116e-01 -1.390870558263500278e+01 1.209193266501220387e+00 -8.300165736014381013e-01 7.177033053575513468e-08 -5.080678106615020839e-01 1.678642048267818376e+00 -1.057826291736238389e+01 0.000000000000000000e+00
2.947875801033967846e-01 -1.423259262582109841e+01 3.761371547498088552e-01 -8.496956595982925187e-01 1.895331491211740569e-08 8.812525256730634471e-01 3.895778639308686397e+00 -1.057362707080389974e+01 0.000000000000000000e+00
