# phase logamp pol cosi GW_freq costheta phi logL logPrior
5.063587430077951090e+00 -1.202656272448655628e+01 5.956641973050746941e-02 -6.002810477564328728e-01 1.044323780094637169e-09 5.744231543398503614e-01 2.378352744377375316e+00 -1.315253163043795526e+07 0.000000000000000000e+00
3.228125017561423782e+00 -1.233423810963583733e+01 1.298717688745403720e+00 -7.147734916175723097e-01 9.510592728292371544e-10 -5.683846858918538691e-01 1.893760520726903929e+00 -5.297046498013729230e+06 0.000000000000000000e+00
4.193383932716584717e+00 -1.296820211063276851e+01 5.696821526228903476e-01 6.482996381676233710e-01 1.621075504253747517e-10 4.371044585361135160e-01 3.368208416659473237e+00 -5.177727380977821304e+05 0.000000000000000000e+00
8.090771373327382276e-01 -1.266115755279536437e+01 1.907525717721874903e-01 -5.113701952450251387e-01 2.940216659422702809e-09 1.184992163523695963e-01 1.766626140797806777e+00 -2.845835096686700126e+05 0.000000000000000000e+00
3.833644451833085665e+00 -1.256457363857889575e+01 2.620488622263250633e-01 5.495308620441471392e-01 2.555718325272372196e-09 6.686581745623837447e-01 3.554421872073327826e+00 -1.640076729194724467e+05 0.000000000000000000e+00
3.750612094553992915e+00 -1.277766837783138243e+01 3.805734328016940338e-01 7.023413033633237879e-01 3.566036071170750381e-09 1.966945818470630380e-01 2.537463815037570569e+00 -1.534154675935001869e+05 0.000000000000000000e+00
1.773511212627999267e+00 -1.294602648099792574e+01 1.029457321221070920e+00 -5.965322404936888034e-01 6.653193941938329053e-10 4.901669003952154879e-01 4.475673142476169986e+00 -9.868558308334698086e+04 0.000000000000000000e+00
4.319877839796465224e+00 -1.201346689668618239e+01 6.197875379120990624e-01 5.843930742140863721e-01 2.211972981916796726e-08 6.637925422620311044e-01 2.849033058419791598e+00 -6.832516760498791700e+04 0.000000000000000000e+00
4.709068192558381050e+00 -1.200669155424355061e+01 1.051357354431288860e+00 7.829696613003951366e-01 1.726010919181102983e-08 -8.678729814976836598e-01 3.596491662782147491e-01 -6.492191909111358109e+04 0.000000000000000000e+00
1.964777575846592406e+00 -1.335827669340248924e+01 3.664287801794066102e-01 -6.001405766032947842e-01 5.770228377068460389e-10 -9.569046587899191492e-01 1.522896129100987928e+00 -5.104320575731327699e+04 0.000000000000000000e+00
7.431710069357450044e-01 -1.248410520427430370e+01 9.440842186294919891e-01 -9.912292352520315486e-01 3.304807567465984323e-09 -5.839740147065689557e-01 5.183954721083816608e+00 -5.023166229811326048e+04 0.000000000000000000e+00
9.306858764646928073e-01 -1.223921176735926686e+01 2.365562305842208168e-01 9.609065492030890443e-01 2.974894366189191573e-08 2.075681123892234303e-01 2.454834418688041531e+00 -4.670900748780699359e+04 0.000000000000000000e+00
