# phase logamp pol cosi GW_freq costheta phi logL logPrior
2.314809470584990425e+00 -1.338735277351237407e+01 8.215472798283293132e-01 3.462744708882080635e-01 8.479837669570654419e-08 -7.484226188193787710e-01 2.077563664710473823e+00 -8.287046828312451652e+00 0.000000000000000000e+00
5.766224535933996975e+00 -1.535376704384743718e+01 6.113695280865640846e-01 -5.533244775151524575e-01 1.554746750583503989e-09 -2.637895601949449831e-01 1.105039786182861583e+00 -7.097593108959072694e+00 0.000000000000000000e+00
3.542976436993206413e+00 -1.349575154927475396e+01 3.784050837536636624e-01 -5.793336828977553310e-01 8.345855819451188283e-08 7.970302590665961917e-01 3.578251480906157411e+00 -6.685041548436878145e+00 0.000000000000000000e+00
5.157847737311697101e-01 -1.412912898076968027e+01 2.616712161857278618e-01 -1.466064744538959630e-01 5.720384266332999824e-09 1.765822871353916190e-01 5.866416202466750995e+00 -6.416540402110327612e+00 0.000000000000000000e+00
3.371201280075841300e+00 -1.409230358867022304e+01 1.283559253036958170e+00 -6.519384548425259662e-02 2.737320765422466998e-08 3.619752072533907739e-01 4.642601148229523744e-01 -6.216216433079658543e+00 0.000000000000000000e+00
8.477615073475116558e-01 -1.364319044166453487e+01 7.549128155046613831e-02 -7.492928628319442952e-01 6.236024948140363220e-08 7.036591920775483455e-01 4.028309326842558491e+00 -6.110272839604251160e+00 0.000000000000000000e+00
3.237962621938964780e+00 -1.401273352333977940e+01 9.941408804201532501e-01 9.093172050168030207e-01 8.430534390778863500e-08 2.448739769485166473e-01 1.557813333070447337e+00 -6.069997773206949887e+00 0.000000000000000000e+00
2.604745307178660596e+00 -1.366285741576807311e+01 1.185107200412426121e+00 6.600091295138342806e-01 9.061085891255477485e-08 8.445686721641203487e-01 3.166776929836685905e+00 -6.029000868883851894e+00 0.000000000000000000e+00
2.470938253642704918e+00 -1.319445134442565504e+01 8.790906600548175076e-01 3.768361062561783048e-01 6.546599260250234013e-08 -7.791071038333819976e-01 5.061611946545578888e+00 -5.834204697520529947e+00 0.000000000000000000e+00
1.144490438141796129e-01 -1.423450688744154746e+01 3.363500343828658701e-01 -6.843097027471726213e-01 7.918817640310788704e-09 1.564354121971822942e-01 5.219355363658220170e+00 -5.772773742307114375e+00 0.000000000000000000e+00
3.341794884044734903e+00 -1.439792785494490879e+01 1.510410897482275194e+00 -5.643550733629871807e-01 2.335695986147277994e-08 -6.704234885790472109e-03 2.795350920630020664e+00 -5.761024021374206328e+00 0.000000000000000000e+00
