# phase logamp pol cosi GW_freq costheta phi logL logPrior
1.057968106372060291e+00 -1.429930906498490550e+01 3.555147243293358406e-01 -9.909526625600002525e-01 3.010255532491440260e-08 -3.869292338115641883e-01 1.582374660427743995e+00 -5.659151757915081049e+01 0.000000000000000000e+00
9.265752756830205605e-01 -1.416036863035733617e+01 5.284841181883778161e-01 4.126243486253595161e-01 2.997292662948213934e-08 2.864079068806003603e-01 2.477948825305094083e+00 -5.536419952480613915e+01 0.000000000000000000e+00
7.573915925415293238e-01 -1.421354548618086433e+01 1.345999971440457799e+00 8.262130798247065977e-01 2.975036774090737823e-08 -9.356029957263990726e-02 2.630053744096837232e+00 -5.324923790882228047e+01 0.000000000000000000e+00
4.743013990207267105e-01 -1.403816727973837430e+01 1.196736446237385731e+00 3.632971995102637353e-01 2.975272193765569752e-08 1.194465489631926780e-01 2.641085783448493540e+00 -5.316663906510427751e+01 0.000000000000000000e+00
2.380717421032200409e+00 -1.416229950990647524e+01 1.418771394384862550e+00 7.529631763935058508e-01 3.010006710513306408e-08 -1.275281979448721903e-01 2.721100686677099034e+00 -5.275266676590099735e+01 0.000000000000000000e+00
3.674464950126268281e+00 -1.421277853590918738e+01 5.128037780994313399e-01 9.333926159890389984e-01 2.988865010626811640e-08 2.114955666201943085e-01 2.496983173595831662e+00 -5.233121562208142308e+01 0.000000000000000000e+00
5.817962652669536716e+00 -1.422708525256864043e+01 1.561200623868068460e+00 7.502789554777924419e-01 2.995814328777126326e-08 1.720447465326755410e-01 2.687029385088560041e+00 -5.212216633891044637e+01 0.000000000000000000e+00
5.875462124674863063e+00 -1.427281844082969720e+01 1.118105437656335965e+00 6.373963597382331647e-01 2.979234703359408881e-08 -5.798524231369674153e-02 2.396820569772703191e+00 -5.177975901012806759e+01 0.000000000000000000e+00
1.151306344168802287e+00 -1.421494787973768048e+01 1.345140736776422763e+00 6.241922108649747836e-01 2.971671335875508255e-08 1.027077512116719715e-01 2.493105269404769953e+00 -5.174817045833736273e+01 0.000000000000000000e+00
6.266448594545504847e+00 -1.408116731081076978e+01 5.675306615801140042e-01 6.767837006443570003e-01 3.000554122135936859e-08 3.316824340774927604e-01 2.635661904893730867e+00 -5.171864908512505821e+01 0.000000000000000000e+00
3.759493675916781186e+00 -1.418029241773237104e+01 1.200264838907183051e+00 7.200292028955267432e-01 3.001859878885005218e-08 3.048291071187300694e-01 2.245090059475064681e+00 -5.170566070278166393e+01 0.000000000000000000e+00
1.571967518509315598e+00 -1.419775765101198495e+01 8.204725264523641259e-01 7.836246986339465703e-01 2.997429415200063348e-08 -2.966287311143441796e-01 2.586941349795064404e+00 -5.162702153068711652e+01 0.000000000000000000e+00
1.722637458049572245e+00 -1.415723124826628521e+01 1.224736007641277435e+00 6.488188430981016719e-01 3.011746938868754249e-08 8.214161895336817565e-02 2.636066304252241643e+00 -5.158107496841190454e+01 0.000000000000000000e+00
6.084825724412584513e+00 -1.422786803736939376e+01 9.280857659728911635e-01 5.080885235880473472e-01 3.000474975578327806e-08 -5.038768250609231003e-02 2.380106423065374788e+00 -5.143974321481228884e+01 0.000000000000000000e+00
1.492462320446529045e+00 -1.406894745493376142e+01 1.034671475824186837e+00 4.550133932810823123e-01 2.991246307479005336e-08 2.522128413232290756e-01 2.228808037186993829e+00 -5.127954612151430780e+01 0.000000000000000000e+00
3.273570867119756755e+00 -1.426116020828955477e+01 1.483119619213659535e+00 9.354532084153768245e-01 3.005340593807943142e-08 8.250070607596918237e-02 2.750960073432674680e+00 -5.119686705845661123e+01 0.000000000000000000e+00
4.211867033399387950e+00 -1.420782206884301679e+01 2.984337023480165829e-01 7.434549288845386794e-01 2.991191266054064630e-08 -3.525304949977459135e-02 2.675926785963788745e+00 -5.119389211415370511e+01 0.000000000000000000e+00
3.336329764398235476e+00 -1.444276271228373787e+01 8.082736028007554419e-01 9.638118988287125433e-01 3.008262975491879879e-08 1.152944984052542837e-01 2.361890528211925577e+00 -5.118608294465689568e+01 0.000000000000000000e+00
7.670069375845671722e-01 -1.406777806408041442e+01 1.429812536365828057e+00 5.475990242240486028e-01 2.993882288158007650e-08 1.682012893988427682e-01 2.840242974416422594e+00 -5.093965591918241387e+01 0.000000000000000000e+00
2.749421937054719933e+00 -1.412070814797503004e+01 1.472440275038584767e+00 4.369622974204937504e-01 2.988694446782542576e-08 -1.879973107585298231e-01 2.688607681349457046e+00 -5.091716643903909301e+01 0.000000000000000000e+00
6.965421579038194588e-02 -1.415464621951100099e+01 3.075392397376742748e-01 7.207305084553572438e-01 3.003401336087400343e-08 2.028171678725849136e-01 2.851111456940615518e+00 -5.081870206196698092e+01 0.000000000000000000e+00
3.178218749728574988e+00 -1.405854680985640748e+01 4.454054031398217983e-01 3.528948020751763170e-01 2.989071429191858375e-08 4.686247570361545822e-01 2.465611301242917719e+00 -5.079674217005104708e+01 0.000000000000000000e+00
3.188082196283918091e+00 -1.433426534550964071e+01 7.268446113816117160e-01 9.247139606752582397e-01 3.012161959720469979e-08 -1.022158663146614244e-01 2.349624101569051771e+00 -5.071714030546892360e+01 0.000000000000000000e+00
